Region,ID,FIPS,Latitude,Longitude,LCPx,LCPy,UHII, DegHourDay 
SoCAB_East,5334,6071001200,34.0795,-117.6462,259305.2,-313038.4,29234.5, 160.6 
SoCAB_East,5335,6071001305,34.0845,-117.628,260936.3,-312433.4,29202.3, 160.5 
SoCAB_East,5336,6071001307,34.0885,-117.6199,261659.5,-311969.7,29331.9, 161.2 
SoCAB_East,5337,6071001308,34.0789,-117.6153,262109.2,-313006.7,28348.8, 155.8 
SoCAB_East,5338,6071001309,34.0746,-117.6247,261270,-313508.1,28283.4, 155.4 
SoCAB_East,5339,6071001310,34.0781,-117.6369,260151.7,-313167.7,28969.8, 159.2 
SoCAB_East,5340,6071001311,34.0856,-117.5989,263577.2,-312220.4,28674.6, 157.6 
SoCAB_East,5341,6071001312,34.0772,-117.6039,263149.8,-313148.6,27966.7, 153.7 
SoCAB_East,5342,6071001400,34.0668,-117.651,258913.5,-314440.9,28290.3, 155.4 
SoCAB_East,5343,6071001501,34.0673,-117.641,259823.7,-314359.6,28374.5, 155.9 
SoCAB_East,5344,6071001503,34.0667,-117.6324,260603.3,-314391.3,28035.4, 154.0 
SoCAB_East,5345,6071001504,34.067,-117.62,261731,-314314.3,27617.1, 151.7 
SoCAB_East,5346,6071001600,34.0578,-117.618,261950.9,-315316.5,26932.2, 148.0 
SoCAB_East,5347,6071001702,34.0448,-117.6753,256790.7,-316916.3,26304.4, 144.5 
SoCAB_East,5348,6071001703,34.0248,-117.6592,258335.2,-319049.3,24896.2, 136.8 
SoCAB_East,5349,6071001704,34.0358,-117.6602,258201.2,-317854,25847.8, 142.0 
SoCAB_East,5350,6071001706,34.0527,-117.6611,258052.5,-316017.9,27145, 149.1 
SoCAB_East,5351,6071001707,34.0454,-117.6602,258159.6,-316809,26657.8, 146.5 
SoCAB_East,5352,6071001803,34.041,-117.6174,262069.7,-317147,25660.9, 141.0 
SoCAB_East,5353,6071001804,34.0248,-117.644,259717.5,-319002,24756.5, 136.0 
SoCAB_East,5354,6071001806,34.025,-117.6306,260931.5,-318941.3,24510.6, 134.7 
SoCAB_East,5355,6071001808,34.0256,-117.6188,262005.5,-318836.8,24327.5, 133.7 
SoCAB_East,5356,6071001809,34.0247,-117.6035,263396.4,-318881.8,24157.8, 132.7 
SoCAB_East,5357,6071001810,34.0339,-117.6441,259668.9,-318008.5,25722.5, 141.3 
SoCAB_East,5358,6071001812,34.0429,-117.6471,259363.5,-317038.2,26696.8, 146.7 
SoCAB_East,5359,6071001813,34.0483,-117.6423,259779.4,-316432.5,27168.6, 149.3 
SoCAB_East,5360,6071001901,34.0083,-117.6631,258045.3,-320862.4,23115.3, 127.0 
SoCAB_East,5361,6071001903,33.9673,-117.6224,261901.8,-325214.2,20337.3, 111.7 
SoCAB_East,5362,6071001905,34.0085,-117.6259,261421.2,-320723.6,22869.7, 125.7 
SoCAB_East,5363,6071001906,34.0081,-117.5758,265981.7,-320600.3,23211.3, 127.5 
SoCAB_East,5364,6071002010,34.161,-117.4695,275012.6,-303559.1,38960, 214.1 
SoCAB_East,5365,6071002011,34.1542,-117.6164,261711.3,-304788.8,41247, 226.6 
SoCAB_East,5366,6071002013,34.1382,-117.6073,262604.5,-306504.9,37373.9, 205.4 
SoCAB_East,5367,6071002014,34.1464,-117.6277,260719.3,-305682,39477, 216.9 
SoCAB_East,5368,6071002015,34.1271,-117.6072,262659.2,-307718.2,34849.4, 191.5 
SoCAB_East,5369,6071002016,34.1148,-117.6085,262591.8,-309066,32672, 179.5 
SoCAB_East,5370,6071002017,34.1548,-117.5933,263805.7,-304648.2,41054.7, 225.6 
SoCAB_East,5371,6071002018,34.1433,-117.5846,264647.2,-305872.8,38105.6, 209.4 
SoCAB_East,5372,6071002019,34.1436,-117.5671,266226.1,-305784.8,37783.7, 207.6 
SoCAB_East,5373,6071002021,34.1525,-117.5572,267094.9,-304780.1,39657.6, 217.9 
SoCAB_East,5374,6071002022,34.151,-117.5164,270802.5,-304810.9,38260.8, 210.2 
SoCAB_East,5375,6071002023,34.1294,-117.593,263935.3,-307418.3,34931.5, 191.9 
SoCAB_East,5376,6071002025,34.1283,-117.5822,264924.6,-307501.7,34397.2, 189.0 
SoCAB_East,5377,6071002027,34.114,-117.5959,263730.6,-309115.7,32274, 177.3 
SoCAB_East,5378,6071002028,34.1142,-117.5827,264932.1,-309046,32051.4, 176.1 
SoCAB_East,5379,6071002029,34.1309,-117.5671,266282,-307165.6,34705.1, 190.7 
SoCAB_East,5380,6071002031,34.129,-117.5519,267663.5,-307323.3,33947.8, 186.5 
SoCAB_East,5381,6071002033,34.1286,-117.5344,269259.9,-307316.6,33729.3, 185.3 
SoCAB_East,5382,6071002034,34.1193,-117.5245,270197.7,-308297.3,32685.4, 179.6 
